campus_id,poi_id,name,category,priority,file,source,source_post_id,source_post_title
beiyangyuan,beiyangyuan-xue-2-dining,学二食堂（兰园餐厅）,餐饮,P2,beiyangyuan/beiyangyuan-xue-2-dining-1.jpg,user,,
beiyangyuan,beiyangyuan-xue-2-dining,学二食堂（兰园餐厅）,餐饮,P2,beiyangyuan/beiyangyuan-xue-2-dining-2.jpg,user,,
beiyangyuan,beiyangyuan-xue-3-dining,学三食堂（棠园餐厅）,餐饮,P1,beiyangyuan/beiyangyuan-xue-3-dining-1.webp,user,,
beiyangyuan,beiyangyuan-xue-3-dining,学三食堂（棠园餐厅）,餐饮,P1,beiyangyuan/beiyangyuan-xue-3-dining-2.jpg,user,,
beiyangyuan,beiyangyuan-xue-3-dining,学三食堂（棠园餐厅）,餐饮,P1,beiyangyuan/beiyangyuan-xue-3-dining-3.jpg,user,,
beiyangyuan,beiyangyuan-xue-4-dining,学四食堂（竹园餐厅）,餐饮,P2,beiyangyuan/beiyangyuan-xue-4-dining-1.jpg,user,,
beiyangyuan,beiyangyuan-xue-5-dining,学五食堂（桃园餐厅）,餐饮,P2,beiyangyuan/beiyangyuan-xue-5-dining-1.jpg,user,,
beiyangyuan,beiyangyuan-xue-6-dining,学六食堂（菊园餐厅）,餐饮,P2,beiyangyuan/beiyangyuan-xue-6-dining-1.jpg,user,,
beiyangyuan,beiyangyuan-zhengdong-library,郑东图书馆,图书馆,P1,beiyangyuan/beiyangyuan-zhengdong-library-1.webp,user,,
beiyangyuan,beiyangyuan-zhengdong-library,郑东图书馆,图书馆,P1,beiyangyuan/beiyangyuan-zhengdong-library-2.jpg,user,,
beiyangyuan,beiyangyuan-zhengdong-library,郑东图书馆,图书馆,P1,beiyangyuan/beiyangyuan-zhengdong-library-3.jpg,user,,
